Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Paced walking duration (ms)
2023-02-22,145,1962.6177616811622,7582.363453954724,41.0,40,0.5004184075064032,2.3790917489617116,0.26450090904679774,10532,,,,83533,,4032351,560931,,
2023-02-23,212,1843.9453643162212,10056.583691266533,36.0,36,0.6458666924079052,1.836876413890206,0.2501575156369456,14443,,,,,,2581834,356126,,
2023-02-24,189,2064.2918600779,9658.118882406498,45.0,45,0.676080474364265,1.9222544606390417,0.2615283118022613,13323,,,,,,4459908,1165222,,
2023-02-25,2,1643.2499642372127,216.19613628765796,,,0.33320653683008566,1.1501744449764093,0.2501575156369456,456,,,,,,,,,
2023-02-26,26,1705.8529816300525,1610.7300247829317,9.0,8,0.5550613231149545,1.984845128443634,0.2501575156369456,2339,,,,,,1059416,,,
2023-02-27,34,1734.466888388918,1473.5754332773106,3.0,3,0.5100771001195308,1.4783590959789168,0.2630046759299311,2327,,,,,,1543642,,,
2023-02-28,5,1643.2499642372131,330.20074667478076,,,0.38612451559492955,1.0636742452449839,0.2615283118022613,601,,,,,,,,,
2023-03-01,10,1654.9042685740565,380.20405896091603,,,0.44580369025859273,1.2675259589290209,0.2501575156369456,763,,,,,,197223,,,
2023-03-02,3,1643.2499642372131,135.34891239580566,,,0.4044285298453553,0.8722378381288568,0.30701149646352416,339,,,,,,,,,
2023-03-03,11,1667.379656449637,335.27859897974537,,,0.3457877674669885,1.3108002899412505,0.3411238663791075,589,,,,,,408341,,,
2023-03-04,3,1643.2499642372131,209.77384893022875,,,0.31488469352319093,1.2619684817340122,0.27289910796757705,422,,,,,,,,,
2023-03-05,20,1674.2260070171035,886.6147694969607,1.0,1,0.43949136608864,1.5342355562837935,0.24844268793116492,1400,,,,,,524200,,,
2023-03-06,77,1870.2378521497362,5245.53948603891,46.0,42,0.6249421213036654,2.0199608365808888,0.2615283118022613,7121,,,,,,3823970,,,
2023-03-07,,1643.2499642372134,38.88812288537973,,,0.3131291558413523,0.3411238888407031,0.2851344228420015,125,,,,,,,,,
2023-03-08,78,1868.9934481085384,5186.372103208539,42.0,36,0.8080136700888895,2.900976898144002,0.2501575156369456,6889,,,,,,2564180,526210,,
2023-03-09,129,1833.1719320419213,7069.476052973785,47.0,47,0.5673595106867573,1.594974663914607,0.28862504346789364,9857,,,,,,2792947,184082,,
2023-03-10,94,1891.8677655624253,5882.004383260671,39.0,39,0.6356326928332887,1.7554373460117123,0.2501575156369456,8104,,,,,,3845354,156486,,
2023-03-11,21,1671.6191585965378,959.7408145939429,1.0,1,0.35757636196263565,1.3663036120143566,0.2501575156369456,1548,,,,,,480086,,,
2023-03-12,,1643.2499642372131,143.36610593197113,,,0.3027390991135169,0.34112389839450485,0.2501575156369456,391,,,,,,,,,
2023-03-13,93,1918.6673785905396,6695.197544019029,50.0,50,0.5534384146587384,1.7799318067764005,0.2501575156369456,9180,,,,,,4660824,,,
2023-03-14,3,1649.743408412906,302.91800984401056,,,0.32171815894335654,0.3411238777818511,0.27289910796757705,604,,,,,,109887,,,
2023-03-15,121,1928.9582270386109,7774.74338253713,48.0,48,0.5793795492801266,2.299780212820911,0.2615283118022613,10602,,,,,,4649457,75751,,
2023-03-16,203,2075.6307144760203,11346.777693561631,62.0,60,0.5631299843709969,2.137514901016193,0.2615283118022613,15784,,,,,,7259610,,,
2023-03-17,103,1899.8553004499452,6736.8772825852975,61.0,55,0.6303499197759413,1.9866951022280737,0.2501575156369456,9339,,,,,,4273746,,,
2023-03-18,133,1984.8700385555578,7727.283790473674,47.0,47,0.6812709982432473,1.8374344667499212,0.24467618518698417,10870,,,,,,5781155,,,
2023-03-19,,1647.8168905626057,152.82350046184314,,,0.30703850292227475,0.34112387996931626,0.2615283118022613,282,,,,,,77285,,,
2023-03-20,165,1989.2471798647643,8158.408381715105,43.0,42,0.6371055849878591,1.9650183574637743,0.2501575156369456,11453,,,,,,5118615,318832,,
2023-03-21,164,2014.575259470576,8052.77663909127,24.0,24,0.6430999166089091,1.8454024748295947,0.2501575156369456,11804,,,,,,5353188,405355,,
2023-03-22,113,1913.111180211471,6065.972304389316,30.0,29,0.5114092321932481,2.3802883377097293,0.2501575156369456,8570,,,,,,4201806,155317,,
2023-03-23,166,1967.5789185158899,7947.968492938834,25.0,25,0.5163874681929997,1.939843078499092,0.2501575156369456,11548,,,,,,3844802,718206,,
2023-03-24,231,1984.2115257254568,10511.754870735595,35.0,35,0.5114713236463451,1.9171804135024562,0.2501575156369456,15289,,,,,,4846488,403801,,
2023-03-25,254,2121.655867917366,11351.43501456003,30.0,30,0.4693996153255421,1.7139219626633853,0.2615283118022613,16407,,,,,,5879708,969031,,
2023-03-26,177,2073.15890179889,10920.92770967426,75.0,52,0.8163328541337663,2.589017397147061,0.2501575156369456,14644,,,,,,7075247,,,
2023-03-27,87,1824.2159193287653,5769.977566952864,45.0,45,0.4684181161790352,1.9004083611591502,0.2501575156369456,7941,,,,,,3062445,,,
2023-03-28,169,1917.2376378289591,8365.740742447982,32.0,31,0.5943878000415791,2.0978615621713823,0.2501575156369456,12051,,,,,,4168748,204425,,
2023-03-29,91,1825.030134062631,5098.179901320161,27.0,27,0.45609383665096725,1.7050402738551391,0.2501575156369456,7517,,,,,,2897781,78022,,
2023-03-30,4,1643.249964237213,246.59737625311013,,,0.3407670635842241,0.34112389327639675,0.2956407002982085,391,,,,,,,,,
2023-03-31,125,1897.3104839252733,6931.170553877953,36.0,35,0.5896274834374222,2.2156180844674873,0.2501575156369456,9999,,,,,,4120360,76133,,
2023-04-01,1,1649.5947919969344,146.68327053257266,,,0.3052677387170017,0.3411238690817058,0.27289910796757705,282,,,,,,107372,,,
2023-04-02,39,1759.6998298638277,2631.7860641162356,18.0,18,0.4598602790425451,1.4738330143396041,0.2501575156369456,3741,,,,,,1970654,,,
2023-04-03,249,1823.9998332516063,10203.21271076815,22.0,22,0.598468815511033,1.733217750654948,0.24733531757606747,14751,,,,,,3058786,,,
2023-04-04,21,1682.8533731309421,909.7437329730315,1.0,1,0.49662814591105325,1.8275933853461626,0.2501575156369456,1503,,,,,,670199,,,
2023-04-05,300,2004.5639922647786,13330.012236309627,50.0,42,0.6699401325329588,2.3033745068592046,0.2474586042416668,18793,,,,,,4700467,539744,,
2023-04-06,98,1844.7969729745537,5555.779161931965,36.0,34,0.5377075835149174,1.9661900169861097,0.2501575156369456,7818,,,,,,3367247,,,
2023-04-07,2,1643.2499642372134,151.45900492200528,,,0.3401598759574279,0.3930019319474429,0.2956407002982085,348,,,,,,,,,
2023-04-08,15,1684.6289184481207,976.6049864904953,1.0,1,0.4739144500286178,2.042998495257196,0.26776452087895597,1554,,,,,,699097,,,
2023-04-09,2,1643.2499642372131,150.1813593608589,,,0.34155629118375963,0.9711750413647083,0.2501575156369456,297,,,,,,,,,
2023-04-10,190,1833.3773074974486,9046.673674976026,35.0,33,0.4552073184681856,2.002179020544054,0.2501575156369456,12950,,,,,,3180562,,,
2023-04-11,81,1855.818636687444,5213.439872846426,32.0,32,0.682013330351957,1.8375623824478682,0.24864568204025966,7350,,,,,,3592234,,,
2023-04-12,121,1819.8334220779163,6253.298010627878,35.0,32,0.48320144204158355,1.9359262055605548,0.2501575156369456,9017,,,,,,2940579,,,
2023-04-13,209,1960.654485090815,9940.26177159801,36.0,36,0.6196331023997649,2.369547023620882,0.2501575156369456,14190,,,,,,4479029,386597,,
2023-04-14,5,1643.249964237213,286.8491109390617,,,0.32350453325597195,0.5189104388492822,0.2501575156369456,565,,,,,,,,,
2023-04-15,11,1648.0528116182156,691.558118108054,1.0,1,0.443234432548846,1.5469869794491382,0.2501575156369456,1102,,,,,,81277,,,
2023-04-16,5,1643.2499642372131,203.30983543584492,,,0.3410769094951521,0.34112389839450485,0.2956407002982085,401,,,,,,,,,
2023-04-17,172,1960.6265064901688,8706.410196732291,41.0,41,0.6035350748888544,1.8372570467375147,0.2501575156369456,12376,,,,,,4759911,254547,,
2023-04-18,107,1830.6014592159647,6602.610027955759,42.0,31,0.5935133242644343,2.1871609914717074,0.2501575156369456,9216,,,,,,3002579,,,
2023-04-19,126,1832.044687597063,6428.206358426318,32.0,30,0.435032251152606,1.908663206093935,0.2501575156369456,9359,,,,,,2774136,172333,,
2023-04-20,105,1901.7746575275385,6944.060274426493,59.0,50,0.7308549752264643,2.54335121937068,0.2615283118022613,9446,,,,,,4282860,,,
2023-04-21,110,1864.7629213887647,5658.25256178821,29.0,29,0.6087396829365744,1.5757676428736993,0.2501575156369456,8211,,,,,,2806329,412004,,
2023-04-22,21,1686.5298287079877,1132.4236124128556,2.0,2,0.38616979915705857,1.5913156844473477,0.266364356930525,1719,,,,,,731596,,,
2023-04-23,22,1668.571349695612,1033.265296928911,1.0,1,0.3702203725809786,1.8302757184414753,0.2501575156369456,1643,,,,,,428507,,,
2023-04-24,154,1962.1078258395662,8741.461142324215,48.0,48,0.542560036179962,1.7348587191473466,0.2501575156369456,12594,,,,,,5114112,123233,,
2023-04-25,122,1803.5733236331357,6730.522863550694,40.0,39,0.6366736407146438,2.1851054786595285,0.2501575156369456,9560,,,,,,2713116,,,
2023-04-26,148,1854.756330701674,6621.2017015659085,16.0,16,0.5723068560394919,1.5947682497079978,0.24697468506957038,9687,,,,,,3579272,,,
2023-04-27,129,1854.4916464222879,6822.351213820075,41.0,37,0.603692538727211,2.622496077646745,0.2501575156369456,9535,,,,,,2671925,385646,,
2023-04-28,92,1848.8264788034487,5268.5919537056425,25.0,25,0.5866414816585851,1.9226018300939411,0.2615283118022613,7570,,,,,,3478149,,,
2023-04-29,32,1716.988259378025,1465.9809471914623,4.0,3,0.4351752503851437,2.0951471615451975,0.2501575156369456,2217,,,,,,1244898,,,
2023-04-30,12,1667.8531168870247,632.6018707499968,2.0,2,0.34747006486929793,1.414982385550951,0.27289910796757705,986,,,,,,416353,,,
2023-05-01,3,1678.7051728188992,169.91754435043262,,,0.36872990070579653,0.5048653475301829,0.27289910796757705,344,,,,,,600000,,,
2023-05-02,127,1878.4622865804504,6768.854028513065,36.0,36,0.5322057880006302,2.2997744433156075,0.2501575156369456,9557,,,,,,3365853,267452,,
2023-05-03,148,1843.22272145364,7170.437837482542,43.0,39,0.5052886145786418,1.889445092161351,0.24737047495248105,10085,,,,,,3021689,128313,,
2023-05-04,186,2090.611725185273,10469.195868129813,66.0,66,0.5932055514552428,1.5944592769417412,0.2615283118022613,14582,,,,,,6590085,428721,,
2023-05-05,11,1648.0393719964559,558.5357045736431,,,0.3437332854886311,1.4215235000036237,0.30701149646352416,895,,,,,,81050,,,
2023-05-06,12,1678.6968900865536,726.7917463781027,2.0,2,0.3635358837094471,1.5021776865392453,0.2501575156369456,1043,,,,,,599860,,,
2023-05-07,26,1711.7964174593362,1180.7074075188516,2.0,2,0.3706903790444173,1.4559419834888907,0.2501575156369456,1773,,,,,,1159997,,,
2023-05-08,93,1858.945263804753,5103.296967979348,28.0,28,0.5218699164375395,1.9002338828725924,0.2501575156369456,7183,,,,,,3287456,158534,,
2023-05-09,108,1842.2446344795696,5941.553462627777,35.0,35,0.5468683516353169,1.612180798843744,0.2673309742530319,8388,,,,,,3367540,,,
2023-05-10,127,1959.904632247436,6960.607325261179,43.0,43,0.5629775472087337,1.8314116567779841,0.2615283118022613,9789,,,,,,4601338,331137,,
2023-05-11,154,2025.4949177667297,9077.070661660411,57.0,57,0.710123372857063,1.8380665169168366,0.2501575156369456,12861,,,,,,6461463,,,
2023-05-12,126,1843.7300333405576,6175.980324053471,31.0,31,0.46262539769252886,1.5939676739071955,0.2501575156369456,8849,,,,,,3392676,,,
2023-05-13,21,1679.428399981951,708.1015937833455,,,0.4512370913237155,1.2582949871162443,0.2501575156369456,1117,,,,,,612239,,,
2023-05-14,3,1646.0340844910897,214.225799754548,,,0.40807018993090555,0.6187095216858519,0.27289910796757705,373,,,,,,47115,,,
2023-05-15,108,1872.971218581915,6004.299552234455,38.0,37,0.6127187339389858,1.836744565494263,0.24871995037257896,8487,,,,,,3694713,78458,,
2023-05-16,154,2023.0476132464328,8404.77555467937,48.0,48,0.5440308170680408,1.6592549580143667,0.2500874469946802,11699,,,,,,3552708,1255524,,
2023-05-17,135,1949.7433597950435,8160.723258986978,57.0,57,0.4903257092537261,1.780511453360129,0.2501575156369456,11273,,,,,,4550586,271637,,
2023-05-18,174,2163.8787873021806,10267.520222738547,68.0,67,0.7632624026521753,1.85882024144957,0.2501575156369456,14223,,,,,,8803963,,,
2023-05-19,135,1870.6464879074285,7490.985294838512,43.0,43,0.5934706525051491,1.7547798863800381,0.24351008455518205,10313,,,,,,2604634,542993,,
2023-05-20,14,1661.0508426257916,672.9203162125402,1.0,1,0.37412431876157193,1.8245968506711054,0.30701149646352416,1121,,,,,,301240,,,
